,initial_briefcase,revealed_briefcase,switched,new_briefcase,wins,winning_briefcase,date,time
0,1,2,False,-1,True,1,2022-04-16,17:36:53
1,2,1,True,3,False,2,2022-04-16,17:36:53
2,2,1,True,3,False,2,2022-04-16,17:36:53
3,3,1,True,2,False,3,2022-04-16,17:36:53
4,1,3,True,2,True,2,2022-04-16,17:36:53
5,2,1,True,3,True,3,2022-04-16,17:36:53
6,1,3,True,2,True,2,2022-04-16,17:36:53
7,2,3,False,-1,False,1,2022-04-16,17:36:53
8,1,3,False,-1,False,2,2022-04-16,17:36:53
9,1,3,False,-1,False,2,2022-04-16,17:36:53
10,3,1,True,2,True,2,2022-04-16,17:36:53
11,2,1,True,3,True,3,2022-04-16,17:36:53
12,2,1,True,3,False,2,2022-04-16,17:36:53
13,3,2,False,-1,False,1,2022-04-16,17:36:53
14,3,1,False,-1,False,2,2022-04-16,17:36:53
15,2,3,True,1,True,1,2022-04-16,17:36:53
16,1,2,False,-1,True,1,2022-04-16,17:36:53
17,2,1,False,-1,True,2,2022-04-16,17:36:53
18,3,2,False,-1,False,1,2022-04-16,17:36:53
19,1,2,False,-1,True,1,2022-04-16,17:36:53
20,3,1,False,-1,False,2,2022-04-16,17:36:53
21,3,2,False,-1,True,3,2022-04-16,17:36:53
22,3,1,False,-1,True,3,2022-04-16,17:36:53
23,2,1,False,-1,True,2,2022-04-16,17:36:53
24,3,1,False,-1,False,2,2022-04-16,17:36:53
25,1,2,True,3,False,1,2022-04-16,17:36:53
26,3,1,True,2,True,2,2022-04-16,17:36:53
27,3,2,False,-1,False,1,2022-04-16,17:36:53
28,2,1,True,3,True,3,2022-04-16,17:36:53
29,2,1,True,3,False,2,2022-04-16,17:36:53
30,3,1,True,2,False,3,2022-04-16,17:36:53
31,2,3,True,1,True,1,2022-04-16,17:36:53
32,3,1,True,2,True,2,2022-04-16,17:36:53
33,2,1,True,3,False,2,2022-04-16,17:36:53
34,1,2,False,-1,False,3,2022-04-16,17:36:53
35,3,2,False,-1,False,1,2022-04-16,17:36:53
36,2,3,False,-1,True,2,2022-04-16,17:36:53
37,1,3,False,-1,False,2,2022-04-16,17:36:53
38,1,2,False,-1,True,1,2022-04-16,17:36:53
39,1,3,True,2,False,1,2022-04-16,17:36:53
40,2,1,False,-1,False,3,2022-04-16,17:36:53
41,3,2,True,1,False,3,2022-04-16,17:36:53
42,2,1,False,-1,False,3,2022-04-16,17:36:53
43,2,1,True,3,True,3,2022-04-16,17:36:53
44,2,3,True,1,False,2,2022-04-16,17:36:53
45,2,3,True,1,True,1,2022-04-16,17:36:53
46,2,1,False,-1,False,3,2022-04-16,17:36:53
47,1,3,False,-1,False,2,2022-04-16,17:36:53
48,2,1,False,-1,False,3,2022-04-16,17:36:53
49,2,1,True,3,False,2,2022-04-16,17:36:53
50,1,2,False,-1,True,1,2022-04-16,17:36:53
51,1,2,True,3,False,1,2022-04-16,17:36:53
52,1,2,True,3,False,1,2022-04-16,17:36:53
53,1,3,True,2,True,2,2022-04-16,17:36:53
54,1,2,False,-1,False,3,2022-04-16,17:36:53
55,2,3,True,1,True,1,2022-04-16,17:36:53
56,3,1,True,2,True,2,2022-04-16,17:36:53
57,2,3,False,-1,False,1,2022-04-16,17:36:53
58,1,2,False,-1,False,3,2022-04-16,17:36:53
59,2,3,False,-1,False,1,2022-04-16,17:36:53
60,3,1,False,-1,True,3,2022-04-16,17:36:53
61,1,2,False,-1,False,3,2022-04-16,17:36:53
62,1,3,False,-1,False,2,2022-04-16,17:36:53
63,1,3,False,-1,False,2,2022-04-16,17:36:53
64,3,1,False,-1,False,2,2022-04-16,17:36:53
65,2,3,True,1,True,1,2022-04-16,17:36:53
66,2,1,True,3,False,2,2022-04-16,17:36:53
67,3,2,False,-1,False,1,2022-04-16,17:36:53
68,1,3,True,2,True,2,2022-04-16,17:36:53
69,3,2,True,1,True,1,2022-04-16,17:36:53
70,1,3,True,2,False,1,2022-04-16,17:36:53
71,1,2,True,3,True,3,2022-04-16,17:36:53
72,2,3,True,1,False,2,2022-04-16,17:36:53
73,3,1,True,2,True,2,2022-04-16,17:36:53
74,3,1,True,2,True,2,2022-04-16,17:36:53
75,3,2,True,1,True,1,2022-04-16,17:36:53
76,2,1,True,3,True,3,2022-04-16,17:36:53
77,1,2,False,-1,False,3,2022-04-16,17:36:53
78,2,3,False,-1,False,1,2022-04-16,17:36:53
79,3,2,True,1,False,3,2022-04-16,17:36:53
80,1,3,False,-1,True,1,2022-04-16,17:36:53
81,2,1,False,-1,True,2,2022-04-16,17:36:53
82,1,3,False,-1,False,2,2022-04-16,17:36:53
83,2,3,True,1,True,1,2022-04-16,17:36:53
84,1,2,True,3,True,3,2022-04-16,17:36:53
85,3,1,True,2,False,3,2022-04-16,17:36:53
86,1,3,True,2,False,1,2022-04-16,17:36:53
87,3,1,False,-1,False,2,2022-04-16,17:36:53
88,2,3,False,-1,True,2,2022-04-16,17:36:53
89,2,3,True,1,True,1,2022-04-16,17:36:53
90,2,3,False,-1,True,2,2022-04-16,17:36:53
91,3,1,True,2,True,2,2022-04-16,17:36:53
92,3,2,False,-1,False,1,2022-04-16,17:36:53
93,3,1,True,2,True,2,2022-04-16,17:36:53
94,3,1,True,2,True,2,2022-04-16,17:36:53
95,1,3,False,-1,False,2,2022-04-16,17:36:53
96,3,1,False,-1,False,2,2022-04-16,17:36:53
97,2,1,True,3,True,3,2022-04-16,17:36:53
98,1,2,False,-1,False,3,2022-04-16,17:36:53
99,1,2,True,3,True,3,2022-04-16,17:36:53
